Variables,Site_Zone,mean_value,standard_deviation,variance_value
NN,BP.Ambient,0.581,1.9811078771870632,3.924788421052632
NN,BP.Diffuse,3.9977142857142858,4.245447447986307,18.023824033613447
NN,BP.Transition,10.4625,8.702026306677386,75.72526184210527
NN,W.Ambient,0.1525,0.044721359549995794,0.002
NN,W.Diffuse,1.0353125,1.8301489175703356,3.349445060483871
NN,W.Offshore,0.165,0.04949747468305833,0.0024500000000000004
NN,W.Transition,3.6975000000000002,3.3453280855545393,11.19122
Phosphate,BP.Ambient,0.1275,0.04865290600938339,0.0023671052631578948
Phosphate,BP.Diffuse,0.22857142857142856,0.12102850556651465,0.014647899159663866
Phosphate,BP.Transition,0.3955,0.19972283426367599,0.03988921052631579
Phosphate,W.Ambient,0.09875,0.019959636689433843,3.983870967741935e-4
Phosphate,W.Diffuse,0.145625,0.11036413337440688,0.01218024193548387
Phosphate,W.Offshore,0.16499999999999998,0.06363961030678927,0.00405
Phosphate,W.Transition,0.315625,0.1603316874482396,0.02570625
Salinity,BP.Ambient,34.5634705455,0.341432949891291,0.11657645927146884
Salinity,BP.Diffuse,33.786166474285714,0.8014196768715857,0.6422734984769567
Salinity,BP.Transition,32.542469233,1.5314175057589656,2.3452395769450116
Salinity,W.Ambient,34.5943023209375,0.029330164151447964,8.602585291508833e-4
Salinity,W.Diffuse,33.6105839503125,1.549711372758263,2.4016053388563
Salinity,W.Offshore,34.602062085,0.010566077428167025,1.1164199221802067e-4
Salinity,W.Transition,31.031004808749998,2.495103880556812,6.2255433747696625
Silicate,BP.Ambient,3.6795,8.184502347987355,66.98607868421053
Silicate,BP.Diffuse,22.312285714285714,19.210861830456945,369.05721226890756
Silicate,BP.Transition,52.125,36.70966780735445,1347.5997105263157
Silicate,W.Ambient,1.9765625,0.6673665596956443,0.445378125
Silicate,W.Diffuse,24.3596875,35.2614980089428,1243.3732418346774
Silicate,W.Offshore,1.7999999999999998,0.24041630560342622,0.057800000000000025
Silicate,W.Transition,83.05437500000001,56.7725720125191,3223.1249329166667
TA,BP.Ambient,2257.0208202,21.76357880556356,473.6533624259755
TA,BP.Diffuse,2285.8179057142856,40.7869694463233,1663.57687661531
TA,BP.Transition,2309.39622095,47.48956820164362,2255.2590879785607
TA,W.Ambient,2259.2193720625,24.804558773239638,615.2661359350996
TA,W.Diffuse,2238.90560028125,37.3608824259395,1395.8355356448749
TA,W.Offshore,2284.407669,14.271981641960231,203.68945998844987
TA,W.Transition,2213.0582848125,46.24210219752361,2138.3320156462178
Temp_in,BP.Ambient,25.656582168,1.1404871062552846,1.3007108395345528
Temp_in,BP.Diffuse,25.70693487,1.281599709976081,1.642497816610775
Temp_in,BP.Transition,25.5065851875,1.2393617038072815,1.5360174328640879
Temp_in,W.Ambient,25.4111877425,1.1760160914786293,1.3830138474166715
Temp_in,W.Diffuse,24.789623896875,1.000214439881303,1.0004289257470689
Temp_in,W.Offshore,24.43115441,0,0
Temp_in,W.Transition,24.292012870625,0.9429832068135877,0.8892173283324376
pH,BP.Ambient,8.053244070149999,0.0682806675177418,0.004662249556668399
pH,BP.Diffuse,8.024683317742857,0.060220175703216035,0.003626469561726211
pH,BP.Transition,8.0139,0.05814853937614399,0.0033812526315789683
pH,W.Ambient,8.00315625,0.07028564272012197,0.004940071572580635
pH,W.Diffuse,7.994125,0.055360257084989366,0.003064758064516115
pH,W.Offshore,7.954,0.029698484809834867,8.819999999999923e-4
pH,W.Transition,8.0173125,0.0783289803755076,0.006135429166666656
percent_sgd,BP.Ambient,0.46341309815,1.0307937465270909,1.0625357478793567
percent_sgd,BP.Diffuse,2.810111550857143,2.419504008886506,5.853999649017873
percent_sgd,BP.Transition,6.5648614610000005,4.6233838548532,21.375678269317238
percent_sgd,W.Ambient,0.25536983203125,0.08622306968543858,0.007434417745979997
percent_sgd,W.Diffuse,3.14724644715625,4.555749097159736,20.75484983627175
percent_sgd,W.Offshore,0.23255813949999998,0.031061538489482454,9.648191733335999e-4
percent_sgd,W.Transition,10.7305394050625,7.334957623573169,53.80160333961416
